ilkid,firstname,lastname,year,team,team-name,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,position,salary
SteveDe01,DeShawn,Stevenson,2009,DAL,Dallas Mavericks,N,24,267,49,4,22,26,12,5,1,6,23,60,17,10,7,25,8,Guard,3883928
StojaPe01,Peja,Stojakovic,2009,NOH,New Orleans Hornets,N,62,1947,784,39,188,227,92,48,5,56,83,688,278,107,96,352,132,Forward,13392000
StoudAm01,Amare,Stoudemire,2009,PHO,Phoenix Suns,N,82,2838,1896,230,502,732,82,52,83,213,281,1264,704,632,487,6,1,Forward,15070544
StuckRo01,Rodney,Stuckey,2009,DET,Detroit Pistons,N,73,2499,1215,67,214,281,348,101,12,163,205,1109,449,359,299,79,18,Guard,1805040
SummeDa01,DaJuan,Summers,2009,DET,Detroit Pistons,N,44,405,134,14,31,45,16,8,7,16,52,130,46,38,27,42,15,Forward,457588
TayloJe02,Jermaine,Taylor,2009,HOU,Houston Rockets,N,31,303,128,21,25,46,16,10,3,19,15,119,45,46,33,22,5,Guard,750000
TeaguJe01,Jeff,Teague,2009,ATL,Atlanta Hawks,N,71,719,228,5,62,67,122,34,11,50,82,227,90,49,41,32,7,Guard,1373880
TelfaSe01,Sebastian,Telfair,2009,CLE,Cleveland Cavaliers,N,4,77,39,0,4,4,12,2,0,6,6,35,16,6,5,9,2,Guard,2500000
TemplGa02,Garrett,Temple,2009,TOT,all,N,27,334,136,6,25,31,21,13,6,27,42,101,44,50,35,37,13,Guard and Forward,177652
TerryJa01,Jason,Terry,2009,DAL,Dallas Mavericks,N,77,2540,1280,19,121,140,292,94,17,109,142,1041,456,268,232,373,136,Guard,9575000
ThabeHa01,Hasheem,Thabeet,2009,MEM,Memphis Grizzlies,N,68,883,208,85,158,243,11,15,89,43,162,131,77,93,54,0,0,Center,4458840
ThomaEt01,Etan,Thomas,2009,OKC,Oklahoma City Thunder,N,23,321,75,18,46,64,1,4,16,18,39,68,31,22,13,0,0,Center,7354500
ThomaKe01,Kenny,Thomas,2009,SAC,Sacramento Kings,N,26,313,41,35,51,86,15,10,10,17,42,35,17,12,7,0,0,Forward,8775000
