ilkid,firstname,lastname,year,team,team-name,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,position,salary
LawsoTy01,Ty,Lawson,2009,DEN,Denver Nuggets,N,65,1316,542,42,82,124,203,48,2,82,89,390,201,140,106,83,34,Guard,1438680
LeeCo01,Courtney,Lee,2009,NJN,New Jersey Nets,N,71,2375,885,60,192,252,121,93,20,76,130,775,338,153,133,225,76,Guard,1264440
LeeDa02,David,Lee,2009,NYK,New York Knicks,N,81,3019,1640,228,721,949,295,85,40,189,257,1258,686,330,268,8,0,Center,7000000
LewisRa01,Rashard,Lewis,2009,ORL,Orlando Magic,N,72,2369,1013,62,256,318,107,78,28,108,180,805,350,180,145,423,168,Forward,18010784
LivinSh01,Shaun,Livingston,2009,TOT,All,N,36,796,250,16,62,78,129,17,11,58,61,201,104,48,42,6,0,Guard,566228
LopezBr01,Brook,Lopez,2009,NJN,New Jersey Nets,N,82,3027,1542,270,439,709,187,55,139,204,251,1129,563,509,416,2,0,Center,2255880
LopezRo01,Robin,Lopez,2009,PHO,Phoenix Suns,N,51,986,430,104,144,248,7,10,53,41,117,291,171,125,88,0,0,Center,1745520
LoveKe01,Kevin,Love,2009,MIN,Minnesota Timberwolves,N,60,1714,842,227,431,658,136,43,23,117,136,646,291,276,225,106,35,Forward,3401040
LowryKy01,Kyle,Lowry,2009,HOU,Houston Rockets,N,68,1651,620,91,156,247,305,60,9,116,173,464,184,260,215,136,37,Guard,2034996
MagloJa01,Jamaal,Magloire,2009,MIA,Miami Heat,N,36,359,77,41,80,121,1,9,11,17,59,56,28,59,21,0,0,Center,1187686
MahinIa01,Ian,Mahinmi,2009,SAS,San Antonio Spurs,N,26,165,101,13,39,52,2,3,8,15,32,55,35,47,31,0,0,Center,989670
MarioSh01,Shawn,Marion,2009,DAL,Dallas Mavericks,N,75,2385,898,158,319,477,107,69,61,99,141,778,395,139,105,19,3,Forward,6475068
MarksSe01,Sean,Marks,2009,NOH,New Orleans Hornets,N,14,75,10,14,9,23,2,0,3,2,17,8,4,5,2,0,0,Forward,1187686
MartiCa01,Cartier,Martin,2009,GSW,Golden State Warriors,N,10,276,90,17,30,47,9,8,0,13,36,88,32,21,16,31,10,Forward,86638
MartiKe01,Kenyon,Martin,2009,DEN,Denver Nuggets,N,58,1986,667,142,404,546,109,72,61,91,186,620,283,167,93,29,8,Forward,15613632
MartiKe02,Kevin,Martin,2009,HOU,Houston Rockets,N,24,859,510,9,61,70,54,23,2,57,45,354,154,185,171,100,31,Guard,10180168
MasonDe01,Desmond,Mason,2009,SAC,Sacramento Kings,N,5,66,13,4,9,13,2,1,1,4,5,12,5,4,3,0,0,Forward,69864
MasonRo01,Roger,Mason,2009,SAS,San Antonio Spurs,N,79,1515,501,11,151,162,137,30,14,59,99,496,193,34,27,264,88,Guard,3780000
MatthWe02,Wesley,Matthews,2009,UTA,Utah Jazz,N,82,2025,769,50,141,191,124,64,15,93,152,565,273,193,160,165,63,Guard,457588
MaxieJa01,Jason,Maxiell,2009,DET,Detroit Pistons,N,76,1550,513,161,240,401,39,36,38,68,175,415,212,155,89,1,0,Forward,5000000
MaynoEr01,Eric,Maynor,2009,OKC,Oklahoma City Thunder,N,55,906,248,11,80,91,185,27,8,57,82,235,102,39,27,47,17,Guard,1318920
MayoOJ01,O.J.,Mayo,2009,MEM,Memphis Grizzlies,N,82,3113,1432,61,250,311,242,98,17,176,174,1183,542,262,212,355,136,Guard,4638600
MaySe01,Sean,May,2009,SAC,Sacramento Kings,N,37,331,123,20,50,70,17,12,7,19,46,111,51,32,21,4,0,Forward,825497
MbahLu01,Luc,Mbah a Moute,2009,MIL,Milwaukee Bucks,N,73,1866,453,171,229,400,81,60,39,70,181,369,177,133,93,17,6,Forward,736420
McGeeJa01,JaVale,McGee,2009,WAS,Washington Wizards,N,60,968,386,88,155,243,14,16,101,51,122,307,156,116,74,1,0,Center,1496640
McGraTr01,Tracy,McGrady,2009,NYK,New York Knicks,N,24,627,226,22,67,89,93,15,12,43,38,216,84,57,43,62,15,Guard,22483120
McGuiDo01,Dominic,McGuire,2009,SAC,Sacramento Kings,N,10,67,8,6,12,18,3,1,1,7,3,12,4,2,0,0,0,Forward,825497
McRobJo01,Josh,McRoberts,2009,IND,Indiana Pacers,N,42,524,179,40,87,127,44,17,16,19,74,146,76,38,19,23,8,Forward,825497
MeeksJo01,Jodie,Meeks,2009,PHI,Philadelphia 76ers,N,19,233,112,4,23,27,17,5,1,5,19,91,40,18,13,50,19,Guard,650000
MensaPo01,Pops,Mensah-Bonsu,2009,TOT,ALL,N,20,120,39,16,19,35,3,4,9,10,20,33,13,24,13,0,0,Forward,344767
MilesCJ01,C.J.,Miles,2009,UTA,Utah Jazz,N,63,1497,622,42,126,168,105,58,17,81,190,562,241,95,66,217,74,Forward,3700000
MilicDa01,Darko,Milicic,2009,MIN,Minnesota Timberwolves,N,24,614,199,42,91,133,43,18,33,33,75,187,92,28,15,1,0,Center,7540000
MilleAn02,Andre,Miller,2009,POR,Portland Trail Blazers,N,82,2500,1146,81,185,266,445,93,9,173,169,908,404,392,322,80,16,Guard,6730800
MilleBr01,Brad,Miller,2009,CHI,Chicago Bulls,N,82,1950,719,83,316,399,154,44,29,107,189,581,250,220,182,132,37,Center,12250000
MilleMi01,Mike,Miller,2009,WAS,Washington Wizards,N,54,1805,586,55,281,336,213,39,12,115,131,433,217,85,70,171,82,Guard,9880552
MillsPa01,Paul,Millsap,2009,UTA,Utah Jazz,N,82,2277,954,186,373,559,131,64,99,116,285,716,385,264,183,9,1,Forward,7692392
MillsPa02,Patrick,Mills,2009,POR,Portland Trail Blazers,N,10,38,26,1,1,2,5,0,0,4,6,24,10,7,4,4,2,Guard,457588
MohamNa01,Nazr,Mohammed,2009,CHR,Charlotte Bobcats,N,58,984,459,114,190,304,28,15,43,53,105,342,189,125,81,0,0,Center,6466600
MoonJa01,Jamario,Moon,2009,CLE,Cleveland Cavaliers,N,61,1052,296,26,165,191,49,34,30,23,69,247,114,45,36,100,32,Forward,3000000
MooreMi01,Mikki,Moore,2009,GSW,Golden State Warriors,N,23,406,115,26,43,69,36,5,13,21,60,90,54,11,7,0,0,Forward,1306455
MorriRa01,Randolph,Morris,2009,ATL,Atlanta Hawks,N,28,124,62,10,28,38,2,5,3,12,34,41,23,27,16,0,0,Center,855189
MorroAn01,Anthony,Morrow,2009,GSW,Golden State Warriors,N,69,2018,899,61,198,259,104,65,16,84,158,703,329,114,101,307,140,Guard,736420
MulleBy01,Byron,Mullens,2009,OKC,Oklahoma City Thunder,N,13,54,14,3,7,10,1,2,0,4,13,19,7,0,0,0,0,Center,1120200
MurphTr01,Troy,Murphy,2009,IND,Indiana Pacers,N,72,2344,1050,129,608,737,150,72,34,100,175,813,384,193,154,333,128,Forward,11047616
NajerEd01,Eduardo,Najera,2009,DAL,Dallas Mavericks,N,33,481,108,22,55,77,14,17,12,13,61,93,42,12,8,47,16,Forward,3000000
NashSt01,Steve,Nash,2009,PHO,Phoenix Suns,N,81,2660,1333,34,234,268,892,42,12,295,108,985,499,225,211,291,124,Guard,13125000
NelsoJa01,Jameer,Nelson,2009,ORL,Orlando Magic,N,65,1860,818,26,168,194,353,48,2,139,147,706,317,116,98,226,86,Guard,7600000
NesteRa01,Rasho,Nesterovic,2009,TOR,Toronto Raptors,N,42,413,163,37,52,89,25,10,17,16,54,149,81,5,1,0,0,Center,1990000
NoahJo01,Joakim,Noah,2009,CHI,Chicago Bulls,N,64,1925,687,220,485,705,132,32,100,117,198,520,262,219,163,0,0,Center,2445680
NovakSt01,Steve,Novak,2009,LAC,Los Angeles Clippers,N,54,362,113,1,32,33,6,7,2,2,21,108,42,9,7,71,22,Forward,797581
NowitDi01,Dirk,Nowitzki,2009,DAL,Dallas Mavericks,N,81,3039,2027,80,540,620,218,70,79,149,208,1496,720,586,536,121,51,Forward,19795712
ObryaPa01,Patrick,O'Bryant,2009,TOR,Toronto Raptors,N,11,51,19,2,9,11,1,2,4,5,12,15,8,6,3,1,0,Center,855189
OdenGr01,Greg,Oden,2009,POR,Portland Trail Blazers,N,21,502,233,64,114,178,19,8,48,39,84,152,92,64,49,0,0,Center,5361240
OdomLa01,Lamar,Odom,2009,LAL,Los Angeles Lakers,N,82,2585,882,184,618,802,267,75,59,150,227,739,342,202,140,182,58,Forward,14148592
OkafoEm01,Emeka,Okafor,2009,NOH,New Orleans Hornets,N,82,2370,850,251,491,742,55,54,127,111,218,656,348,274,154,0,0,Center,10538936
OkurMe01,Mehmet,Okur,2009,UTA,Utah Jazz,N,73,2149,988,132,383,515,119,38,81,127,223,775,355,239,196,213,82,Center,9000000
OllieKe01,Kevin,Ollie,2009,OKC,Oklahoma City Thunder,N,25,263,44,3,22,25,20,9,0,6,16,45,18,8,8,1,0,Guard,1306455
ONeaJe01,Jermaine,O'Neal,2009,MIA,Miami Heat,N,70,1991,950,124,362,486,92,25,95,125,212,745,394,225,162,2,0,Center,23016000
ONeaSh01,Shaquille,O'Neal,2009,CLE,Cleveland Cavaliers,N,53,1240,636,93,262,355,80,15,62,105,169,463,262,226,112,1,0,Center,21000000
OutlaTr01,Travis,Outlaw,2009,POR,Portland Trail Blazers,N,11,231,109,13,25,38,8,7,8,12,13,101,38,24,21,31,12,Forward,4000000
